team,player,impact
A&M-Corpus Christi,Sheldon Williams,1.888
A&M-Corpus Christi,DA Houston,1.212
A&M-Corpus Christi,Franck Yetna,1.129
A&M-Corpus Christi,Mason Gibson,1.109
A&M-Corpus Christi,Nicholas Shogbonyo,0.976
A&M-Corpus Christi,Bryson Wheatfall,0.912
A&M-Corpus Christi,Cenker Evran,0.865
A&M-Corpus Christi,Leo Torbor,0.746
A&M-Corpus Christi,Devon Kobi Pearson,0.415
A&M-Corpus Christi,Daniel Michelini-Jackson,0.236
A&M-Corpus Christi,Kam Parker,0.052
A&M-Corpus Christi,Jaden Haire,0.028
A&M-Corpus Christi,Jamal Ambrose,0.022
A&M-Corpus Christi,Cedric Horton,0.009
Abilene Christian,Bradyn Hubbard,1.942
Abilene Christian,Chilaydrien Newton,1.453
Abilene Christian,Rich Smith,1.302
Abilene Christian,Zy Wright,1.233
Abilene Christian,Yaniel Rivera,1.092
Abilene Christian,Joseph Venzant,0.866
Abilene Christian,Cade Hornecker,0.58
Abilene Christian,Ma'Shy Hill,0.202
Abilene Christian,Christian Alston,0.185
Abilene Christian,Joseph Scott,0.022
Abilene Christian,Tylan LEWIS,0.02
Abilene Christian,Isaac Dye,0.019
Air Force,Lucas Hobin,1.862
Air Force,Kam Sanders,1.71
Air Force,Ethan Greenberg,1.454
Air Force,Riley Dering,1.171
Air Force,Eli Robinson,0.846
Air Force,Wesley Celichowski,0.74
Air Force,AJ Patterson,0.366
Air Force,Justin Hinds,0.27
Air Force,Kolby Gilles,0.249
Air Force,Caleb Walker,0.157
Air Force,Brendan Martin,0.137
Air Force,Elliott Taite,0.007
Air Force,Josh Gatete,0.006
Air Force,Sam Imade,0.005
Akron,Tavari Johnson,1.493
Akron,Amani Lyles,1.032
Akron,Evan Mahaffey,0.955
Akron,Shammah Scott,0.84
Akron,Bowen Hardman,0.784
Akron,Eric Mahaffey,0.621
Akron,Sharron Young,0.54
Akron,Zach Halligan,0.517
Akron,Marvin Musiime-Kamali,0.169
Akron,Halil Barre,0.03
Alabama,Labaron Philon,3.187
Alabama,Aden Holloway,2.87
Alabama,Amari Allen,2.665
Alabama,Latrell Wrightsell Jr.,2.605
Alabama,Aiden Sherrell,2.323
Alabama,Houston Mallette,1.394
Alabama,London Jemison,0.974
Alabama,Taylor Bol Bowen,0.066
Alabama,Jalil Bethea,0.052
Alabama,Noah Williamson,0.041
Alabama A&M,Kintavious Dozier,2.094
Alabama A&M,James Graham,1.794
Alabama A&M,Koron Davis,1.657
Alabama A&M,Sami Pissis,1.571
Alabama A&M,P.J. Eason,0.897
Alabama A&M,Bilal Abdur-Rahman,0.429
Alabama A&M,Louis Hutchinson,0.425
Alabama A&M,Angok Anyang,0.173
Alabama A&M,James Flippin,0.145
Alabama A&M,Tajden Davis,0.12
Alabama A&M,Samuel Onu,0.037
Alabama A&M,Gabe Kincy,0.023
Alabama A&M,Jalen Carruth,0.005
Alabama St.,Micah Simpson,1.986
Alabama St.,Tyler Byrd,1.49
Alabama St.,Jerquarius Stanback,1.215
