game_id,game_date,team,opponent,location,pts_for,pts_against,fga,fta,orb,to,opp_fga,opp_fta,opp_orb,opp_to,team_conf,opp_conf,team_is_d1,opp_is_d1,team_id,opponent_team_id,is_d1_team,is_d1_opponent
6503194,2026-02-08,Penn St.,Southern California,H,75,77,58,15,9,17,60,18,12,15,Big Ten,Big Ten,,,1967,616,True,True
6503194,2026-02-08,Southern California,Penn St.,A,77,75,60,18,12,15,58,15,9,17,Big Ten,Big Ten,,,616,1967,True,True
6503243,2026-02-08,Iowa,Northwestern,H,76,70,53,29,13,8,45,22,3,10,Big Ten,Big Ten,,,2478,2286,True,True
6503243,2026-02-08,Northwestern,Iowa,A,70,76,45,22,3,10,53,29,13,8,Big Ten,Big Ten,,,2286,2478,True,True
6503336,2026-02-08,Hawaii,UC San Diego,H,72,67,60,23,12,14,58,18,2,11,Big West,Big West,,,755,1442,True,True
6503336,2026-02-08,UC San Diego,Hawaii,A,67,72,58,18,2,11,60,23,12,14,Big West,Big West,,,1442,755,True,True
6503501,2026-02-08,Michigan,Ohio St.,A,82,61,72,7,17,8,55,16,9,12,Big Ten,Big Ten,,,1845,573,True,True
6503501,2026-02-08,Ohio St.,Michigan,H,61,82,55,16,9,12,72,7,17,8,Big Ten,Big Ten,,,573,1845,True,True
6503733,2026-02-08,Maryland,Minnesota,A,67,62,48,17,10,10,47,14,9,9,Big Ten,Big Ten,,,2503,2197,True,True
6503733,2026-02-08,Minnesota,Maryland,H,62,67,47,14,9,9,48,17,10,10,Big Ten,Big Ten,,,2197,2503,True,True
6503885,2026-02-08,Texas Tech,West Virginia,A,70,63,48,13,2,11,55,23,9,9,Big 12,Big 12,,,628,989,True,True
6503885,2026-02-08,West Virginia,Texas Tech,H,63,70,55,23,9,9,48,13,2,11,Big 12,Big 12,,,989,628,True,True
6504009,2026-02-08,Cincinnati,UCF,H,92,72,56,21,7,11,66,15,11,8,Big 12,Big 12,,,718,1775,True,True
6504009,2026-02-08,UCF,Cincinnati,A,72,92,66,15,11,8,56,21,7,11,Big 12,Big 12,,,1775,718,True,True
6504254,2026-02-08,Tulane,Wichita St.,H,61,75,53,24,6,14,63,19,14,15,American,American,,,2023,494,True,True
6504254,2026-02-08,Wichita St.,Tulane,A,75,61,63,19,14,15,53,24,6,14,American,American,,,494,2023,True,True
6504654,2026-02-08,Furman,UNC Greensboro,H,64,67,53,17,9,11,53,19,8,9,SoCon,SoCon,,,1486,201,True,True
6504654,2026-02-08,UNC Greensboro,Furman,A,67,64,53,19,8,9,53,17,9,11,SoCon,SoCon,,,201,1486,True,True
6504968,2026-02-08,Rice,UAB,A,65,71,68,10,17,11,63,21,14,7,American,American,,,1307,816,True,True
6504968,2026-02-08,UAB,Rice,H,71,65,63,21,14,7,68,10,17,11,American,American,,,816,1307,True,True
6505343,2026-02-08,South Fla.,Tulsa,H,80,74,60,30,12,7,61,18,16,14,American,American,,,611,1354,True,True
6505343,2026-02-08,Tulsa,South Fla.,A,74,80,61,18,16,14,60,30,12,7,American,American,,,1354,611,True,True
6505436,2026-02-08,Charlotte,Memphis,A,54,77,57,9,8,16,63,18,12,10,American,American,,,200,99,True,True
6505436,2026-02-08,Memphis,Charlotte,H,77,54,63,18,12,10,57,9,8,16,American,American,,,99,200,True,True
6503194,2026-02-08,Penn St.,Southern California,H,75,77,58,15,9,17,60,18,12,15,Big Ten,Big Ten,,,1967,616,True,True
6503194,2026-02-08,Southern California,Penn St.,A,77,75,60,18,12,15,58,15,9,17,Big Ten,Big Ten,,,616,1967,True,True
6503243,2026-02-08,Iowa,Northwestern,H,76,70,53,29,13,8,45,22,3,10,Big Ten,Big Ten,,,2478,2286,True,True
6503243,2026-02-08,Northwestern,Iowa,A,70,76,45,22,3,10,53,29,13,8,Big Ten,Big Ten,,,2286,2478,True,True
6503336,2026-02-08,Hawaii,UC San Diego,H,72,67,60,23,12,14,58,18,2,11,Big West,Big West,,,755,1442,True,True
6503336,2026-02-08,UC San Diego,Hawaii,A,67,72,58,18,2,11,60,23,12,14,Big West,Big West,,,1442,755,True,True
6503501,2026-02-08,Michigan,Ohio St.,A,82,61,72,7,17,8,55,16,9,12,Big Ten,Big Ten,,,1845,573,True,True
6503501,2026-02-08,Ohio St.,Michigan,H,61,82,55,16,9,12,72,7,17,8,Big Ten,Big Ten,,,573,1845,True,True
6503733,2026-02-08,Maryland,Minnesota,A,67,62,48,17,10,10,47,14,9,9,Big Ten,Big Ten,,,2503,2197,True,True
6503733,2026-02-08,Minnesota,Maryland,H,62,67,47,14,9,9,48,17,10,10,Big Ten,Big Ten,,,2197,2503,True,True
6503885,2026-02-08,Texas Tech,West Virginia,A,70,63,48,13,2,11,55,23,9,9,Big 12,Big 12,,,628,989,True,True
6503885,2026-02-08,West Virginia,Texas Tech,H,63,70,55,23,9,9,48,13,2,11,Big 12,Big 12,,,989,628,True,True
6504009,2026-02-08,Cincinnati,UCF,H,92,72,56,21,7,11,66,15,11,8,Big 12,Big 12,,,718,1775,True,True
6504009,2026-02-08,UCF,Cincinnati,A,72,92,66,15,11,8,56,21,7,11,Big 12,Big 12,,,1775,718,True,True
6504254,2026-02-08,Tulane,Wichita St.,H,61,75,53,24,6,14,63,19,14,15,American,American,,,2023,494,True,True
6504254,2026-02-08,Wichita St.,Tulane,A,75,61,63,19,14,15,53,24,6,14,American,American,,,494,2023,True,True
6504654,2026-02-08,Furman,UNC Greensboro,H,64,67,53,17,9,11,53,19,8,9,SoCon,SoCon,,,1486,201,True,True
6504654,2026-02-08,UNC Greensboro,Furman,A,67,64,53,19,8,9,53,17,9,11,SoCon,SoCon,,,201,1486,True,True
6504968,2026-02-08,Rice,UAB,A,65,71,68,10,17,11,63,21,14,7,American,American,,,1307,816,True,True
6504968,2026-02-08,UAB,Rice,H,71,65,63,21,14,7,68,10,17,11,American,American,,,816,1307,True,True
6505343,2026-02-08,South Fla.,Tulsa,H,80,74,60,30,12,7,61,18,16,14,American,American,,,611,1354,True,True
6505343,2026-02-08,Tulsa,South Fla.,A,74,80,61,18,16,14,60,30,12,7,American,American,,,1354,611,True,True
6505436,2026-02-08,Charlotte,Memphis,A,54,77,57,9,8,16,63,18,12,10,American,American,,,200,99,True,True
6505436,2026-02-08,Memphis,Charlotte,H,77,54,63,18,12,10,57,9,8,16,American,American,,,99,200,True,True
6501028,2026-02-07,Idaho St.,Northern Colo.,H,61,69,59,16,9,7,54,8,6,13,Big Sky,Big Sky,,,65,918,True,True
6501028,2026-02-07,Northern Colo.,Idaho St.,A,69,61,54,8,6,13,59,16,9,7,Big Sky,Big Sky,,,918,65,True,True
6501090,2026-02-07,Alabama A&M,Southern U.,A,68,81,51,29,8,8,60,21,13,9,SWAC,SWAC,,,450,957,True,True
6501090,2026-02-07,Southern U.,Alabama A&M,H,81,68,60,21,13,9,51,29,8,8,SWAC,SWAC,,,957,450,True,True
6501117,2026-02-07,Coppin St.,Delaware St.,H,65,47,51,23,12,17,48,21,10,18,MEAC,MEAC,,,1089,2435,True,True
6501117,2026-02-07,Delaware St.,Coppin St.,A,47,65,48,21,10,18,51,23,12,17,MEAC,MEAC,,,2435,1089,True,True
6501140,2026-02-07,Jacksonville,West Ga.,A,73,87,57,25,12,11,61,32,17,8,ASUN,ASUN,,,2166,649,True,True
6501140,2026-02-07,West Ga.,Jacksonville,H,87,73,61,32,17,8,57,25,12,11,ASUN,ASUN,,,649,2166,True,True
6501168,2026-02-07,Dartmouth,Harvard,H,58,71,56,13,6,9,51,18,5,9,Ivy League,Ivy League,,,371,753,True,True
6501168,2026-02-07,Harvard,Dartmouth,A,71,58,51,18,5,9,56,13,6,9,Ivy League,Ivy League,,,753,371,True,True
6501302,2026-02-07,CSU Bakersfield,Cal St. Fullerton,A,66,82,61,24,14,16,64,23,12,11,Big West,Big West,,,1055,1766,True,True
6501302,2026-02-07,Cal St. Fullerton,CSU Bakersfield,H,82,66,64,23,12,11,61,24,14,16,Big West,Big West,,,1766,1055,True,True
6501357,2026-02-07,Alabama St.,Grambling,A,47,57,66,10,18,11,48,18,6,12,SWAC,SWAC,,,814,746,True,True
6501357,2026-02-07,Grambling,Alabama St.,H,57,47,48,18,6,12,66,10,18,11,SWAC,SWAC,,,746,814,True,True
